word,count,happs_score,stddev
silence,1,5.14,1.738
baltimore,1,5.38,1.1933
internet,2,7.48,1.313
lines,1,5.26,1.0063
cut,1,3.42,1.295
rio,1,5.74,1.3372
secrets,7,5.28,1.8187
receive,2,6.5,1.1112
verdict,1,4.2,1.6537
friday,1,6.88,1.686
reality,1,5.94,1.6464
grip,1,5.47,1.7091
city,3,5.76,1.546
appears,3,5.68,1.0774
acknowledge,1,6.24,1.318
blocks,3,4.54,1.4172
website,2,6.28,1.1613
veil,1,5.02,1.4356
door,2,5.38,1.2103
white,5,6.28,1.5391
house,2,6.34,1.6239
custody,1,4.36,1.6995
moves,5,5.68,0.957
hold,3,5.7,1.2164
message,2,6.08,1.122
large,1,6.06,1.2683
parts,2,5.24,1.1168
uncertainty,1,3.64,1.0451
poor,2,2.32,1.2848
subsidies,1,5.14,1.4984
possession,1,5.36,1.9873
sale,2,6.58,1.6424
beef,2,5.28,2.1763
released,4,6.34,1.5201
local,2,5.46,1.3584
longer,1,5.18,1.1726
scores,2,5.9,1.1294
concern,3,4.04,1.6157
seek,3,5.72,1.1613
join,1,6.22,1.5556
newly,1,6.5,1.2495
sophisticated,1,6.02,1.7553
cited,1,4.88,1.409
assault,6,2.56,1.6557
planned,1,5.98,1.2696
spring,1,7.16,1.4337
son,2,7.12,1.8142
crude,1,3.6,1.4428
comment,1,5.58,1.2792
base,1,5.08,1.0467
make,3,6.0,0.9897
drives,1,5.78,1.4039
inside,1,5.4,0.7284
abandoned,1,2.54,1.3734
holds,2,5.4,1.069
stole,1,2.6,1.4142
australian,9,6.26,1.2257
course,1,5.42,1.3716
losing,2,2.62,1.1761
vote,4,5.8,1.5779
jordan,2,5.44,1.7515
deadline,1,3.66,1.1537
pass,2,5.9,1.4321
newspaper,2,6.32,1.3468
mother,1,7.68,1.6714
spare,1,5.74,1.5093
releases,3,5.96,1.4702
berlin,1,5.26,1.5884
involvement,1,5.64,1.3667
church,5,5.48,1.8543
power,5,6.68,1.4907
schools,2,5.98,1.4356
cradle,1,6.38,1.6091
conservatives,1,4.08,1.9984
center,3,5.3,0.9949
india,9,6.42,1.9804
shot,3,2.5,1.6568
