word,count,happs_score,stddev
coverage,4,5.66,1.3188
killings,7,1.8,1.5386
sentences,5,5.59,1.632
agreement,1,6.32,1.2196
deal,9,6.32,1.0774
facing,4,5.26,1.1031
town,9,5.88,1.5338
concerned,2,4.22,1.6573
food,3,7.44,1.2149
hands,1,6.0,1.4846
party,14,7.58,1.4581
brazilian,2,6.06,1.4486
author,1,5.98,1.3923
light,4,6.4,1.5119
mayor,5,5.26,1.3063
plans,13,6.2,1.0102
sue,5,4.3,2.1595
value,1,6.36,1.2415
brutal,1,2.6,2.08
bird,3,6.64,1.5487
flu,3,2.4,1.1249
humans,1,6.76,1.4507
regions,3,5.54,1.1104
soviet,1,4.64,1.3365
freedom,5,7.9,1.4178
election,22,5.18,1.3506
bodies,4,4.68,1.6218
discovered,1,7.0,1.2454
rival,7,3.68,1.5043
headquarters,4,5.4,1.0102
strength,2,7.4,1.1606
seeks,2,5.68,0.9988
avoid,1,3.14,1.578
ground,4,5.26,1.2906
attacked,3,2.52,1.555
san,2,5.02,0.5887
calls,17,5.42,1.0319
data,4,5.7,1.0738
money,5,7.3,1.8434
rules,7,4.28,1.2296
muslim,5,4.64,1.6995
challenge,4,5.78,1.7177
ideology,2,5.82,1.4387
emergency,53,3.06,1.7775
explosion,4,2.94,1.596
bus,2,5.1,1.2495
social,6,6.22,1.0359
accounts,6,4.96,1.4978
john,7,5.08,1.1578
bigger,1,6.38,1.3981
push,9,4.44,1.473
council,4,4.94,1.3157
resolution,2,6.18,1.2887
combat,1,3.2,1.6782
international,5,6.56,1.2643
dealt,1,5.1,1.2495
loses,2,2.74,1.2423
crucial,2,4.52,1.5418
taiwan,9,5.36,1.2739
flag,1,6.26,1.3063
pin,1,5.1,0.8864
bosnia,2,4.8,1.7023
supporter,2,6.76,1.2216
sentenced,6,3.7,1.6568
planning,5,6.16,1.4619
meets,12,5.98,1.0971
said,11,5.38,0.901
printed,1,5.88,0.9613
park,1,7.08,1.3529
private,4,5.92,1.3529
historian,1,6.06,1.4626
begins,4,5.94,1.1502
sentence,2,5.22,1.4469
dinner,5,7.4,1.1429
flavor,1,6.88,1.2229
target,7,5.36,1.5221
border,11,4.9,1.488
barely,1,4.24,1.5722
days,5,5.76,1.2382
turn,2,5.2,1.2454
slaves,1,2.06,1.3694
asks,1,5.24,0.8704
arab,8,4.5,1.594
league,2,5.8,1.1606
help,5,6.08,1.4686
department,42,5.26,1.1031
fights,1,3.0,1.3702
gay,1,4.44,2.1774
criticism,7,3.1,1.1473
visiting,4,6.6,1.2122
considering,1,5.6,1.1249
travel,8,7.18,1.4241
millions,2,7.26,1.5361
come,4,5.82,1.0039
body,1,5.96,1.0294
newspapers,1,6.02,1.4637
covering,1,5.36,0.8751
scandal,3,3.18,1.5609
fund,4,6.04,1.1241
functioning,1,6.46,1.237
uses,1,5.72,1.1613
tool,2,5.26,1.5361
declared,5,5.28,1.3407
strategy,2,6.24,1.2382
ancient,1,5.6,1.4142
sites,3,6.0,1.1606
cartoon,1,7.2,1.4428
diplomacy,3,5.74,1.7001
board,1,4.76,1.5194
company,8,5.44,1.58
signing,1,6.04,1.4841
computer,2,7.24,1.3933
failure,1,2.06,1.2191
leaves,2,5.62,1.7944
unable,2,3.1,0.8391
aids,3,4.28,2.3477
doctors,4,5.54,1.6563
shame,1,2.68,1.3005
facebook,5,6.08,1.9361
images,5,6.34,1.2224
filthy,1,2.82,1.826
hospitals,5,3.54,1.5677
joined,4,6.3,1.0926
secretary,9,5.42,1.3107
taken,9,4.28,1.4714
ownership,1,6.38,1.4126
nicholas,1,5.54,0.9082
markets,1,6.1,1.165
recognize,14,6.08,1.4119
marie,2,5.58,1.0319
silence,2,5.14,1.738
baltimore,1,5.38,1.1933
internet,4,7.48,1.313
lines,2,5.26,1.0063
cut,3,3.42,1.295
rio,1,5.74,1.3372
secrets,8,5.28,1.8187
receive,3,6.5,1.1112
verdict,1,4.2,1.6537
friday,1,6.88,1.686
reality,1,5.94,1.6464
grip,3,5.47,1.7091
city,13,5.76,1.546
appears,3,5.68,1.0774
acknowledge,1,6.24,1.318
blocks,5,4.54,1.4172
website,2,6.28,1.1613
veil,1,5.02,1.4356
door,3,5.38,1.2103
white,11,6.28,1.5391
house,8,6.34,1.6239
custody,3,4.36,1.6995
moves,8,5.68,0.957
hold,4,5.7,1.2164
message,2,6.08,1.122
large,2,6.06,1.2683
parts,2,5.24,1.1168
uncertainty,1,3.64,1.0451
poor,3,2.32,1.2848
subsidies,1,5.14,1.4984
possession,1,5.36,1.9873
sale,3,6.58,1.6424
beef,2,5.28,2.1763
released,4,6.34,1.5201
local,9,5.46,1.3584
longer,4,5.18,1.1726
scores,2,5.9,1.1294
concern,4,4.04,1.6157
seek,5,5.72,1.1613
join,3,6.22,1.5556
newly,3,6.5,1.2495
sophisticated,2,6.02,1.7553
cited,1,4.88,1.409
assault,9,2.56,1.6557
planned,2,5.98,1.2696
spring,2,7.16,1.4337
son,2,7.12,1.8142
crude,1,3.6,1.4428
comment,1,5.58,1.2792
base,5,5.08,1.0467
make,5,6.0,0.9897
drives,1,5.78,1.4039
inside,5,5.4,0.7284
abandoned,2,2.54,1.3734
holds,3,5.4,1.069
stole,1,2.6,1.4142
australian,19,6.26,1.2257
course,2,5.42,1.3716
losing,2,2.62,1.1761
vote,11,5.8,1.5779
jordan,3,5.44,1.7515
deadline,1,3.66,1.1537
pass,3,5.9,1.4321
newspaper,3,6.32,1.3468
mother,2,7.68,1.6714
spare,2,5.74,1.5093
releases,7,5.96,1.4702
berlin,1,5.26,1.5884
involvement,1,5.64,1.3667
church,8,5.48,1.8543
power,17,6.68,1.4907
schools,3,5.98,1.4356
cradle,1,6.38,1.6091
conservatives,3,4.08,1.9984
center,6,5.3,0.9949
india,23,6.42,1.9804
shot,5,2.5,1.6568
successful,2,8.16,1.0759
credit,3,5.86,1.6661
senior,3,5.64,1.2081
truck,4,5.48,1.555
angry,2,2.32,1.2362
organ,2,5.46,1.6563
world,16,6.52,1.6567
questioned,2,4.24,1.2707
right,6,6.54,1.2651
road,2,5.86,1.0882
israelis,2,5.14,1.3554
hotel,6,6.16,1.5954
polish,2,6.16,1.3903
limits,4,4.0,1.1952
demonstration,2,5.88,1.2185
liberal,1,5.8,2.1665
interference,4,4.71,1.7321
files,3,5.38,1.427
malcolm,1,5.4,1.0102
australia,13,6.4,1.5908
contest,1,5.78,1.4039
identity,2,5.98,1.1156
investigating,7,4.84,1.1669
climbing,1,6.04,1.3838
christian,4,6.3,1.6444
sinai,1,4.76,1.1528
water,3,6.7,1.2164
app,3,5.2,1.4286
palestinians,8,4.5,1.1995
enter,2,5.84,1.2835
stake,2,5.02,1.1865
french,13,5.96,1.5381
officer,1,5.22,1.6449
including,3,5.96,0.9026
attorney,3,4.12,1.3037
worker,1,5.56,1.6308
wins,5,7.44,1.2643
treatment,2,4.42,1.5398
sara,1,5.52,1.764
shop,2,6.76,1.0412
lesson,1,5.3,1.488
senate,2,4.7,1.4178
passes,2,5.44,1.4868
legal,3,5.18,1.746
beijing,6,5.24,1.685
tries,6,5.58,1.2631
whip,1,3.3,1.7409
support,10,6.44,1.4309
investment,1,5.82,1.8148
sails,2,6.38,1.3834
arsenal,1,4.18,1.8371
colonel,1,4.96,1.6031
focus,3,6.12,1.0622
shut,4,3.56,1.0333
shake,1,5.14,1.1954
european,11,5.94,1.1678
stadium,1,5.96,1.5774
prosecutor,4,4.06,1.6587
preacher,1,5.28,2.1193
involving,2,5.6,1.3401
track,3,5.14,1.143
stars,1,7.1,1.5419
decades,1,4.84,1.3756
later,1,4.6,1.3553
public,4,5.18,1.3656
hand,1,5.9,1.0738
governing,1,5.0,1.5779
plane,11,6.3,1.632
presents,2,7.2,1.4569
revised,1,5.27,1.3961
territory,2,5.12,1.1891
challenges,2,5.74,1.4957
operation,3,3.72,1.6041
teen,4,5.92,1.9361
restaurant,2,7.06,1.2521
tells,6,5.32,1.2688
cnn,2,5.18,1.4525
oppose,1,3.82,1.4384
committed,2,6.38,1.4126
trump,63,5.3,1.7053
japan,14,6.0,1.3093
discussing,15,5.76,1.7209
prince,10,6.44,1.3426
harry,7,5.24,1.2545
regrets,1,3.08,1.5232
interior,1,5.8,0.8806
visits,7,6.4,1.2936
york,23,5.62,1.1761
maintain,1,5.76,1.0412
union,5,6.04,1.3991
francis,3,5.32,1.4348
mideast,4,4.82,1.5609
collapse,3,2.9,1.4463
safety,3,6.18,1.7343
fears,4,2.68,1.2688
discussed,16,5.56,1.4591
violations,3,2.86,1.4287
hours,2,5.22,1.0359
protesters,7,3.8,1.6903
job,1,5.96,1.7257
investigators,1,4.96,1.6157
search,4,5.44,1.1808
educated,1,7.29,1.307
residents,4,5.66,1.2715
increasing,1,6.4,1.2936
desperation,2,2.7,1.9086
voices,3,5.56,1.5005
widespread,5,4.8,1.1429
times,15,5.58,1.1968
close,2,4.94,1.3911
efforts,9,5.6,1.4569
increase,6,6.56,1.1095
hate,2,2.34,1.8802
tied,2,4.4,1.3553
airlines,4,5.6,1.5908
mystery,3,5.64,1.849
breathe,1,6.28,1.5258
highly,1,6.6,1.178
perfect,1,7.42,1.7154
hot,1,5.02,1.9218
seasons,1,6.76,1.2216
output,1,5.86,1.3844
pressure,3,3.66,1.5467
questions,9,5.0,1.0498
nearly,11,5.26,1.2423
wider,1,5.34,1.0422
wealth,2,7.38,1.2271
nation,3,6.06,1.5039
prison,7,2.06,1.4765
term,1,4.94,1.5039
reuters,3,5.18,1.3656
charity,3,6.4,1.906
ban,7,2.66,1.3188
use,10,5.64,1.1563
executed,4,3.94,2.2023
deputy,1,4.68,1.3468
spokesman,1,5.06,1.1678
school,9,6.26,1.8824
thesis,1,5.35,1.8507
girl,2,7.0,1.1606
held,9,5.28,1.2784
day,5,6.24,1.3637
nice,1,7.38,1.5104
panel,3,5.54,1.2811
projects,1,5.46,1.5935
regret,1,3.12,1.507
tony,3,5.52,1.1822
blair,2,5.04,1.2115
family,7,7.72,1.3099
wounds,1,2.8,2.0203
relatives,2,6.6,1.8626
fallen,1,3.52,1.4177
offers,7,6.48,1.555
music,3,8.02,1.1156
cracks,2,4.0,1.3553
expect,1,5.9,0.9742
aims,4,6.27,1.2209
mining,2,4.84,1.5434
companies,3,5.26,1.0264
buy,1,6.28,1.3559
influence,4,5.64,1.2415
conditions,5,4.78,1.4748
guards,2,4.3,1.7173
tell,2,5.42,1.0319
trail,1,6.14,1.143
seas,1,6.86,1.6289
woman,5,6.84,1.6458
let,3,5.38,1.0079
home,13,7.14,1.8296
humanity,1,7.02,1.6265
drug,11,3.2,2.0702
mob,2,3.56,1.8644
festival,4,7.7,1.0738
chapter,2,5.6,1.2122
tobacco,1,3.48,2.1782
alive,2,7.18,1.2887
contrary,1,4.24,1.5211
turkey,14,6.16,1.8111
distance,1,4.5,1.3132
classified,1,5.34,1.4514
pages,1,5.62,0.9875
easter,1,6.88,1.698
rising,3,6.54,1.1104
suspects,3,3.6,1.1952
growing,2,6.52,0.9947
rich,2,7.98,1.3169
crisis,8,2.48,1.6689
payments,2,5.76,2.1434
politicians,4,3.34,1.1359
plants,2,7.1,1.2976
work,4,5.24,2.105
born,1,6.82,1.6499
need,4,4.84,1.4337
complaint,1,2.86,1.0104
queen,5,6.24,1.7907
elizabeth,4,6.14,1.7263
exit,1,4.78,1.5687
earthquake,4,1.9,1.1995
little,3,4.6,1.3401
subjected,1,3.86,1.3999
strife,1,4.02,1.8349
turning,3,5.32,1.019
failing,1,2.52,1.2656
southeast,2,5.68,1.2196
lung,1,5.4,1.3093
steel,4,5.08,1.1578
send,4,5.38,1.3536
art,2,6.6,1.4983
training,3,5.74,1.3969
pregnant,2,6.22,2.0829
birth,1,7.12,1.6117
defect,1,3.21,1.7005
rise,16,6.36,1.5618
leading,3,6.64,1.5086
