headline,happs_score
"New York City’s school testing plan may miss large outbreaks, a study suggests.",5.628
Pelosi suggests Trump’s positive test makes a stimulus deal more likely.,5.8225
Unemployment claims in the U.S. show little relief from pandemic layoffs.,5.025
Meron Benvenisti Dies at 86; Urged One State for Jews and Palestinians,4.751111111111111
Fauci calls Florida’s move to lift state restrictions on restaurants and bars ‘very concerning.’,5.358
"The pandemic is far from over, experts say, despite Trump allies’ claims.",5.111428571428571
New York State’s positivity rate rises as officials warn of clusters.,5.40125
New York State’s positivity rate rises as officials warn of clusters.,5.40125
Paris Suspect Said Attack Was Aimed at Paper That Mocked Islam’s Prophet,4.9399999999999995
"‘The Time Has Come’: Barbados Casts Off the Queen as Head of State, and Others May Follow",5.321666666666666
A Nigerian State Plans to Castrate Convicted Child Rapists,5.3566666666666665
Why French Politicians Can’t Stop Talking About Crime,4.571428571428571
Another Gulf State Recognizes Israel. Here’s Why It Matters.,5.176
"Keïta, Mali’s Deposed Leader, Is Said to Be Hospitalized",5.305
Turkey Announces Arrest of a Major Islamic State Militant,5.0025
China Detains Australian Host for Chinese State TV,5.7942857142857145
"‘He Did What?’: On Trump, Merkel’s Face Does the Talking",5.653333333333333
C.D.C. Suggests Some Child-Care Centers Can Reopen Safely,5.776
"Lebanon’s Parliament Confirms State of Emergency, Extending Army Power",5.41
"California Becomes First State to Report 600,000 Coronavirus Cases",5.505714285714285
Belarus’s Leader Vows to Crush Protests After Claiming Landslide Election Win,5.585714285714286
"Iran Will Expand Nuclear Program and Won’t Talk to U.S., Ayatollah Says",5.206666666666667
Trump Falsely Claims Much of U.S. Is ‘Corona-Free’,5.176
Saudi King Is Said to Have Successful Gallbladder Surgery,5.3675
Europe Said It Was Pandemic-Ready. Pride Was Its Downfall.,5.357142857142857
U.S. Says Most of China’s Claims in South China Sea Are Illegal,5.318
Outspoken Chinese Professor Is Said to Be Released From Detention,5.5525
State Department Bars Chinese Officials Who Restrict Access to Tibet,5.3175
26 Killed at Drug Rehab Center in Mexico’s Most Violent State,4.2525
Hong Kong Opens Door to China’s Hulking Security State,5.422857142857143
"Explosion in Iran Kills 19, State TV Says",4.54
Pakistan’s Prime Minister Suggests Osama Bin Laden Was a Martyr,5.353333333333333
Sweden Tries Out a New Status: Pariah State,5.636666666666667
"As Kim Jong-un Turns Hostile to South Korea, His Sister Does the Talking",5.343636363636364
Pence Tells Governors to Repeat Misleading Claim on Outbreaks,5.156666666666666
French Police Push Back Against Proposed Reforms,5.071428571428571
Coronavirus Claims Some of World War II’s Last Witnesses,4.502857142857143
Jacinda Ardern Sold a Drastic Lockdown With Straight Talk and Mom Jokes,6.16
1945: Britain and U.S. Propose Meeting With Russia,5.536
El Salvador Supreme Court Orders State of Emergency Suspended,4.4775
Germany and France Propose $545 Billion Coronavirus Fund for Europe,6.1000000000000005
A ‘Breakdown of Trust’: Pandemic Corrodes Church-State Ties in Russia,5.284000000000001
Venezuela Claims 2 Americans Were Captured in Failed Invasion,4.2942857142857145
China Quiets Talk of Coronavirus Cover-Up in Wuhan,5.475
Venezuelan Officials Claim to Have Stopped an Armed Incursion,4.7542857142857144
Afghanistan Investigating Claims Migrants Were Killed by Iranian Guards,4.13
"Kim Jong-un Resurfaces, State Media Says, After Weeks of Health Rumors",5.3125
Scores of Young Men in Mozambique Said to Be Killed by Islamist Insurgents,5.168
"Tokyo, in a State of Emergency, Yet Still Having Drinks at a Bar",5.38909090909091
"Childbirth in Venezuela, Where Women’s Deaths Are a State Secret",4.668571428571428
North Korea Claims No Coronavirus Cases. Can It Be Trusted?,5.054285714285713
"China Chases Indonesia’s Fishing Fleets, Staking Claim to Sea’s Riches",5.826
"Russian State Oil Company Rosneft, in Sudden Move, Sells Assets in Venezuela",5.411111111111111
"As State Pleas Mount, Trump Outlines Some Federal Action; Senate Democrats Block Stimulus Package",5.188
Germany Shuts Down Far-Right Clubs That Deny the Modern State,5.1325
Not Just a Crisis: Coronavirus Is a Test for Putin’s Security State,5.104444444444444
"Macron Declares France ‘at War’ With Virus, as E.U. Proposes 30-Day Travel Ban",5.42
U.S. Lawmakers Propose Tough Limits on Imports from Xinjiang,4.806666666666667
Boris Johnson Launches War on U.K.’s Own ‘Deep State’,5.012
"SNC-Lavalin Is the Talk of Ottawa Again, if in a Very Different Context",5.324
"Crisis Deepens in Tiny Guyana, the World’s Newest Petro State",4.94
E.U. Proposes a Climate Law. Greta Thunberg Hears ‘Empty Words.’,5.583333333333333
Putin Proposes Constitutional Ban on Gay Marriage,5.044
