word,count,happs_score,stddev
germany,14,5.94,1.5703
clubs,1,6.34,1.4654
modern,1,6.48,1.1822
johnson,11,5.4,1.3702
launches,1,6.14,1.125
crisis,5,2.48,1.6689
tiny,2,4.9,1.374
newest,2,6.5,1.5551
inside,4,5.4,0.7284
communist,2,4.32,1.7431
fires,1,4.26,1.7357
traveling,1,6.78,1.6695
travel,6,7.18,1.4241
harry,6,5.24,1.2545
royal,6,5.82,1.6374
titles,1,5.56,1.2643
tennis,1,6.4,1.4142
player,2,5.94,1.6214
sexual,12,6.2,1.4569
raising,2,6.26,1.2257
questions,7,5.0,1.0498
stuck,1,3.66,1.1178
old,2,3.98,1.7553
cycle,1,5.62,1.4412
mining,1,4.84,1.5434
cloud,1,5.62,1.8504
corruption,2,2.14,1.3095
parties,12,7.42,1.4441
awaits,1,5.49,1.4012
debate,4,4.94,1.5174
policy,2,4.74,1.4401
billion,2,7.56,1.6679
fund,1,6.04,1.1241
workers,10,5.78,1.183
running,2,5.7,1.5017
industry,1,5.38,1.3076
climate,4,5.8,1.4286
social,2,6.22,1.0359
false,13,3.18,1.3506
probably,2,5.64,1.2415
resistance,1,4.38,1.6274
paid,2,7.14,1.7144
president,17,5.86,2.1094
public,3,5.18,1.3656
dispute,1,3.54,1.7286
responsibility,10,5.72,1.6542
lawsuit,3,2.96,1.6157
freeze,1,4.08,1.8609
critics,2,3.8,1.6782
diversity,1,5.82,1.7401
dreams,1,7.44,1.4165
got,3,5.6,1.4569
haiti,7,4.06,2.2077
broken,4,3.02,1.4068
does,8,5.22,1.2501
fix,1,6.28,1.5258
arrested,4,1.64,1.0053
judge,6,4.92,1.6015
agents,2,5.0,1.2936
political,4,4.12,1.5205
rival,2,3.68,1.5043
offers,5,6.48,1.555
support,8,6.44,1.4309
lives,6,6.22,1.148
inmates,2,3.48,2.0227
fraud,5,2.3,1.1824
result,2,6.0,1.1606
right,3,6.54,1.2651
mission,2,5.68,1.3468
assault,3,2.56,1.6557
taiwan,2,5.36,1.2739
kept,2,5.74,1.1031
buying,2,6.4,1.2936
german,10,5.34,1.394
called,3,5.6,1.1066
relative,1,6.58,1.2631
organized,1,6.62,1.2436
crime,3,2.2,1.2617
boss,1,4.18,1.5868
rock,1,6.14,1.2938
africa,7,5.26,2.0782
country,6,6.28,1.7148
develop,1,6.26,1.0461
shots,3,3.32,2.0146
catholic,2,5.3,1.8323
church,3,5.48,1.8543
latest,8,6.06,1.3614
