word,count,happs_score,stddev,2015,2016,2017,2018,2019
risks,2,3.78,1.7646,1,,,,
billion,4,7.56,1.6679,1,1,,,
protests,16,4.24,1.6358,2,3,,1,
violence,19,1.86,1.05,1,3,1,,1
jason,2,5.12,1.3192,2,,,,
prisoner,5,2.86,1.8518,2,,,,
exchange,2,5.68,1.1683,2,,,,
cases,51,4.82,0.919,7,1,,2,1
past,7,4.62,1.6022,2,,,,
agency,15,5.26,0.9216,4,,2,3,
press,6,5.36,1.2249,3,1,1,,
far,4,4.38,1.817,1,,,,
homes,4,6.62,1.2436,1,,,,
plan,9,6.14,1.2779,1,1,1,1,
called,8,5.6,1.1066,3,2,,,
donations,1,6.56,1.3118,1,,,,
refugees,4,3.06,1.6587,1,2,,,
american,10,6.74,1.5228,1,2,2,,
finds,50,5.94,1.2521,8,6,1,6,8
women,15,7.12,1.4658,2,5,1,1,1
hope,5,7.38,1.3076,1,,,,1
students,10,6.28,1.8299,1,1,,1,
mexico,11,5.84,1.7186,1,2,1,2,1
force,3,4.0,1.6903,1,,,,
toll,5,4.06,1.0956,2,1,,,
banned,6,2.88,1.2879,1,,,,
used,13,4.6,1.4846,2,3,2,,
dead,22,2.0,1.3248,1,4,,1,2
strikes,18,4.02,1.3626,2,4,,1,
flow,2,5.44,1.5928,1,1,,,
foreign,16,5.68,1.6956,3,1,,,1
weapons,9,2.4,1.6903,1,,1,,
using,5,5.0,1.0498,1,,,1,1
poison,4,1.94,1.1502,1,1,,1,
gas,6,4.76,1.6483,1,,,1,
wall,1,4.98,0.9581,1,,,,
street,7,5.44,0.8369,2,,,,
journal,1,5.7,1.3132,1,,,,
reporter,2,5.16,1.3456,1,,,,
political,7,4.12,1.5205,1,1,,,1
connections,1,6.31,1.2111,1,,,,
jewish,6,5.72,1.0506,1,,,1,2
paper,2,5.8,1.1952,2,,,,
sees,6,5.76,1.4078,1,,,,
plot,7,5.26,1.3822,1,2,,,
destroy,3,2.52,1.8097,1,,,,
israel,56,4.78,1.7296,3,3,3,,3
fall,4,4.04,1.9687,1,1,,,1
voice,6,5.76,1.0606,2,,1,1,2
experimental,1,5.84,1.4479,1,,,,
tested,4,5.16,1.1132,1,,,,
shows,15,6.08,1.0467,3,,3,,3
led,5,5.48,1.1292,2,,,,
charges,8,3.94,1.5308,3,,2,1,
human,10,6.26,1.6389,2,1,1,1,
crimes,13,2.14,1.3704,4,2,1,1,
ahead,8,6.08,1.3679,2,,1,,1
rome,2,6.98,1.4213,1,,,1,
factory,1,5.08,1.4961,1,,,,
global,10,6.0,1.4846,1,,1,,1
poverty,1,1.98,1.1156,1,,,,
making,1,6.24,1.1877,1,,,,
big,11,6.22,1.5022,1,1,3,,
pilot,2,6.0,1.069,2,,,,
acknowledged,1,6.1,1.4321,1,,,,
cutting,1,4.08,1.3974,1,,,,
wrong,1,3.14,0.9691,1,,,,
crash,11,2.6,1.3702,3,,,1,1
hong,8,4.86,0.9691,2,,1,1,
kong,8,5.44,1.1808,2,,1,1,
democracy,2,6.36,1.7233,1,,,,
rough,1,3.54,1.4458,1,,,,
bad,5,2.64,1.4675,1,,1,,
annual,4,5.28,1.0506,1,3,,,
ethnic,3,5.84,1.3303,1,,,,
region,6,5.14,1.143,2,,,1,
describes,6,5.76,1.0797,2,1,,,
trends,1,5.94,1.2843,1,,,,
children,30,7.12,1.3498,3,6,1,2,2
evidence,10,5.64,1.2578,1,,1,,1
palestinian,47,4.62,1.6022,5,,2,1,1
lets,2,5.58,1.012,2,,,,
fingers,1,5.58,1.1445,1,,,,
talking,2,6.46,1.2324,1,,,,
houses,1,6.16,1.6333,1,,,,
parliament,13,4.98,1.2856,1,1,3,,3
quick,1,6.02,1.6349,1,,,,
fix,2,6.28,1.5258,1,,,,
ministry,3,5.58,1.8526,1,,,,
defending,1,5.22,1.5022,1,,,,
conduct,3,5.14,1.325,1,1,,,
million,20,7.38,1.427,2,2,,2,4
lack,2,3.16,1.2835,1,,,,
basic,1,5.16,1.3456,1,,,,
