word,count,happs_score,stddev,2020,2021,2022,2023,2024,2025
region,6,5.14,1.143,,,,2,,1
describes,6,5.76,1.0797,,,1,,2,
trends,1,5.94,1.2843,,,,,,
children,30,7.12,1.3498,2,4,1,6,3,
evidence,10,5.64,1.2578,1,,6,,,
palestinian,47,4.62,1.6022,,,,3,21,14
lets,2,5.58,1.012,,,,,,
fingers,1,5.58,1.1445,,,,,,
talking,2,6.46,1.2324,,,1,,,
houses,1,6.16,1.6333,,,,,,
parliament,13,4.98,1.2856,1,1,1,2,,
quick,1,6.02,1.6349,,,,,,
fix,2,6.28,1.5258,,1,,,,
ministry,3,5.58,1.8526,,,2,,,
defending,1,5.22,1.5022,,,,,,
conduct,3,5.14,1.325,,,,,1,
million,20,7.38,1.427,4,1,1,1,2,1
lack,2,3.16,1.2835,,,1,,,
basic,1,5.16,1.3456,,,,,,
backs,8,5.34,1.4373,,,3,2,,
tactics,4,5.3,1.5811,,,,1,,
military,49,4.78,1.753,,1,8,9,9,4
government,20,4.64,1.6383,1,5,,1,1,5
changes,3,5.06,1.3157,,,,,,
law,5,4.9,1.5551,1,,,,1,
expenses,1,3.32,1.3468,,,,,,
investigation,7,4.02,1.4776,,1,1,1,,
assembly,2,5.6,1.088,,,,,,1
armed,3,3.84,1.8556,1,,,1,,
conflict,6,3.1,1.5286,1,,,,1,2
administration,4,4.84,1.5696,1,1,,,,
congress,3,4.34,1.7567,,,1,1,,
victims,2,2.32,1.5043,,,1,,,
virus,32,2.08,1.3377,18,8,3,,,
forced,7,3.16,1.2675,,1,1,,,2
african,4,5.66,1.7567,,,,,,2
countries,8,5.68,0.9781,,1,,1,,
urged,6,4.54,1.2969,1,1,,,,
russian,94,5.52,1.7052,3,2,35,31,7,1
weapon,1,3.36,1.663,,,,,,
greatly,1,6.86,1.3403,,,,,,
treaty,5,6.22,1.3293,,,,,,
fewer,3,3.72,1.1256,,,,,,
hungry,1,3.38,1.9261,,,,,,
people,13,6.16,1.5826,2,4,1,,1,2
jimmy,3,5.36,1.1205,,,,,,
workers,16,5.78,1.183,,5,1,1,3,
patients,4,3.66,1.4086,,1,1,,,
incident,2,4.02,1.3923,,,,1,,
years,10,5.28,1.4714,2,,,,1,
links,2,5.6,1.1606,,,,,,
needs,7,4.98,1.5185,1,1,1,,,
reforms,1,5.7,1.5286,,,,,,
wake,1,4.72,1.6542,,,,,,
officials,53,4.76,1.3637,10,5,7,11,6,3
drop,3,4.3,1.1995,,,,,,1
preliminary,1,5.26,1.1031,,,,,,
flight,6,6.06,1.834,,,,,1,
korean,10,5.48,1.4741,,1,,,,
student,2,6.58,1.2469,,,,,,
brazil,10,6.1,1.359,1,,2,1,,1
dutch,5,5.62,1.1761,,,1,1,,
united,6,7.32,1.2027,,,1,1,,
internal,3,5.2,1.3093,,,,,1,
man,10,5.9,1.4033,,,,,1,
flying,1,6.24,1.6483,,,,,,
japanese,2,6.02,1.5713,,,,,,
air,10,6.8,1.6537,,,3,,,4
saddam,2,2.48,1.568,1,,,,,
